VERBS,Freq,Intensity
fermented,1,
fertilising,1,
fertilizing,1,
fiberglass,1,
fibreglass,1,
filling,1,
filtering,1,
fired,1,
flaring,1,
flavoure,1,
flaxseed,1,
floating,1,
flood,1,
floraadminister,1,
focused,1,
food,1,
foodstuff,1,
forbid,1,
forecast,1,
forecasting,1,
foresee,1,
foreseen,1,
forests,1,
forêt,1,
formaldehyde,1,
forpotassium,1,
fortify,1,
forward,1,
foundry,1,
fram,1,
freestanding,1,
freight,1,
fresh,1,
freshwater,1,
fry,1,
fultil,1,
fungicides,1,
fuse,1,
future,1,
gauge,1,
genetically,1,
geschlossenen,1,
gill,1,
glass,1,
glut,1,
goose,1,
grade,1,
graft,1,
grain,1,
greening,1,
grid,1,
grinding,1,
grounde,1,
group,1,
guided,1,
guideline,1,
guiding,1,
gusset,1,
halogenated,1,
handcraft,1,
handwriting,1,
hang,1,
harmonizes,1,
harnessing,1,
hearing,1,
heated,1,
herbicides,1,
herring,1,
hew,1,
highway,1,
hike,1,
hiking,1,
horse,1,
huanglongb,1,
huanglongbing,1,
hydrocarbon,1,
ignit,1,
impacts.report,1,
impair,1,
impart,1,
implemente,1,
implemented,1,
imply,1,
importer,1,
imposed,1,
impound,1,
impute,1,
incinerat,1,
includesmall,1,
includinglead,1,
incorporated,1,
incorporating,1,
increased,1,
induce,1,
inendanger,1,
inert,1,
infringing,1,
ingest,1,
inhabit,1,
insecticide,1,
insecticides,1,
institute,1,
insulating,1,
insure,1,
integrating,1,
intended,1,
interact,1,
involf,1,
iodinate,1,
ispm,1,
itemsbase,1,
jack,1,
jam,1,
justifi,1,
killing,1,
kit,1,
ks,1,
lack,1,
lacquer,1,
lagorchestes,1,
laid,1,
lamps,1,
lates,1,
laundering,1,
leader,1,
leading,1,
lease,1,
leasehold,1,
least,1,
leather,1,
less,1,
leucogarnete,1,
level,1,
levell,1,
licensed,1,
lif,1,
lifting,1,
ligh,1,
lightning,1,
límites,1,
linking,1,
listed,1,
listing,1,
lithium,1,
localize,1,
locat,1,
located,1,
lodge,1,
lose,1,
lowering,1,
lpcp,1,
lumbering,1,
m,1,
má,1,
made,1,
mainland,1,
mamífero,1,
manifest,1,
manner.according,1,
manufacturer,1,
marginalize,1,
marginalized,1,
marketed,1,
marketing,1,
matches,1,
material.use,1,
matières,1,
meets,1,
mentio,1,
mercuryadminister,1,
meridianadminister,1,
meter,1,
microwave,1,
mince,1,
minded,1,
minimising,1,
minimizing,1,
mistreate,1,
misuse,1,
moderate,1,
moot,1,
motorize,1,
motorized,1,
mounting,1,
mulching,1,
mung,1,
nale,1,
neodecanoate,1,
networke,1,
nickel,1,
nitrosate,1,
no.bd,1,
nom-001-secre,1,
nom-em-002-secre,1,
non-profit,1,
non-recurring,1,
non-specify,1,
non-target,1,
nut,1,
observed,1,
occupé,1,
offering,1,
oils,1,
omit,1,
opening,1,
organi,1,
organiques,1,
organise,1,
organizing,1,
orientalis,1,
outweigh,1,
overfish,1,
overfishing,1,
override,1,
overriding,1,
ow,1,
oxychloride,1,
packed,1,
paí,1,
parte,1,
partition,1,
partnere,1,
patent,1,
pave,1,
pend,1,
perfluorooctane,1,
perfume,1,
permission,1,
permitt,1,
personnel,1,
pesticides,1,
pesticidesadminister,1,
pet,1,
ph,1,
phoenix,1,
phosphoramidocyanidate,1,
pip,1,
pirate,1,
pitched,1,
plain,1,
plans,1,
plante,1,
plantscombin,1,
plating,1,
plywood,1,
policy,1,
polishing,1,
possesse,1,
post-register,1,
postes,1,
potentially,1,
poultry,1,
powdere,1,
prawn,1,
pre-cook,1,
pre-cooked,1,
pre-stresse,1,
prefabricate,1,
prejudice,1,
premise,1,
premix,1,
preparacione,1,
preserv,1,
pretreat,1,
priorinformed,1,
proceeding,1,
procure,1,
procuring,1,
producto,1,
productsadminister,1,
produit,1,
professionalise,1,
profit,1,
programme,1,
programs.anticipate,1,
prohibicione,1,
prohibited.an,1,
prolonged,1,
promising,1,
promotion,1,
prompt,1,
promtote,1,
prop,1,
propan,1,
propertiesincreasing,1,
property,1,
propionate,1,
proportionate,1,
proposing,1,
protected,1,
protection.fix,1,
prototyp,1,
provided,1,
provides,1,
published,1,
puncture,1,
pup,1,
purify,1,
purifying,1,
purigy,1,
purse,1,
pursuant,1,
push,1,
qrno,1,
quantify,1,
quarry,1,
quartz,1,
quellen,1,
raised,1,
raising,1,
rapid,1,
rated,1,
rdp,1,
re-evaluat,1,
re-sow,1,
re-submit,1,
reap,1,
rear,1,
recall,1,
recast,1,
recherches,1,
recipient,1,
recite,1,
recive,1,
recondition,1,
reconstitute,1,
recordkeeping,1,
recovering,1,
recruit,1,
rectify,1,
recursos,1,
recyclabe,1,
recycly,1,
redesign,1,
reestablish,1,
reexamin,1,
refinery,1,
reflectory,1,
regenerate,1,
registration,1,
regroove,1,
regualting,1,
reguladore,1,
reimburse,1,
relax,1,
renewable,1,
renovating,1,
renting,1,
reopening,1,
reorient,1,
repealing,1,
repel,1,
replacing,1,
replicate,1,
repower,1,
representados,1,
representativing,1,
represente,1,
reproduce,1,
rescate,1,
rescind,1,
residuesash,1,
residuo,1,
respectively.administer,1,
respiratory,1,
restocking,1,
restor,1,
restraint,1,
restriccione,1,
restructur,1,
restructuring,1,
retreading,1,
retreate,1,
retro,1,
revision,1,
revitalise,1,
revok,1,
revolve,1,
rewrite,1,
rib,1,
ribbed,1,
road,1,
roas,1,
roofboard,1,
roote,1,
rooted,1,
round,1,
rounding,1,
row,1,
rubber,1,
sabotage,1,
sachet,1,
safeguarding,1,
safety,1,
sailfish,1,
saive,1,
samoensis,1,
sample,1,
sanction,1,
satellite,1,
saturated,1,
sawmill,1,
saxaulunrefined,1,
scheme,1,
schemeimprove,1,
score,1,
scoring,1,
screening,1,
se,1,
seagoing,1,
seals,1,
search,1,
seasoning,1,
seco,1,
section,1,
sectors.regard,1,
seeds,1,
segregate,1,
seize,1,
selectiving,1,
selectivity,1,
seman,1,
semi-rigid,1,
seq.qr,1,
serf,1,
serrate,1,
seventeen,1,
severe,1,
severelyrestrict,1,
sewn,1,
shap,1,
sharing,1,
sho,1,
shoe,1,
shorter,1,
showcase,1,
shutdow,1,
signall,1,
simulat,1,
sinensis,1,
single,1,
sink,1,
sinter,1,
sitting,1,
six,1,
sizing,1,
ski,1,
skinn,1,
slaughterhouse,1,
sludgeswaste,1,
slug,1,
smelting,1,
smes.in,1,
smog,1,
smoked,1,
sole,1,
solicite,1,
soliciting,1,
solvent,1,
sourcesbase,1,
sourcing,1,
speci,1,
specializing,1,
species,1,
spin,1,
squatt,1,
stack,1,
stating,1,
steam,1,
steaming,1,
stee,1,
steelhead,1,
steer,1,
stemm,1,
stopping,1,
storing,1,
straightening,1,
stretch,1,
subhead,1,
subheading,1,
subpart,1,
subsidizing,1,
subsidyfacilitat,1,
substantiate,1,
succeed,1,
sudanese,1,
suffering,1,
sugar,1,
suiting,1,
sulphonate,1,
sulphur,1,
superannuate,1,
supplied,1,
suppor,1,
suppport,1,
surrender,1,
sustained,1,
swear,1,
sweetening,1,
swell,1,
swimm,1,
swimming,1,
swing,1,
swinhonis,1,
sword,1,
sworn,1,
t,1,
tann,1,
tanning,1,
taracid,1,
tariffdate,1,
teaching,1,
technique,1,
tell,1,
teroch,1,
theenterprise,1,
thereof.palm,1,
thin,1,
throw,1,
thyme,1,
tightened,1,
tin,1,
tinte,1,
tinted,1,
title,1,
tolerate,1,
toolk,1,
tools.optimise,1,
tosupport,1,
total,1,
touch,1,
trace,1,
tradeadminister,1,
trainn,1,
tran,1,
transformer,1,
transformerscomplement,1,
transfrontalière,1,
transitione,1,
translate,1,
tratamiento,1,
trate,1,
tread,1,
trim,1,
triple,1,
tub,1,
turtlesadminister,1,
twist,1,
u,1,
udpating,1,
unbleach,1,
unbound,1,
uncook,1,
undergoe,1,
underlin,1,
underline,1,
underly,1,
underpinn,1,
undertaken,1,
undisclosed,1,
unit,1,
unleaded,1,
unplasticize,1,
unplasticized,1,
unrefined,1,
unregister,1,
unregulate,1,
unreport,1,
unrooted,1,
uphold,1,
using,1,
vapour,1,
vari,1,
varnish,1,
vehicles,1,
vendor,1,
vessel,1,
violate,1,
vulcanised,1,
vulcanize,1,
wadd,1,
wafe,1,
wall,1,
warn,1,
warrant,1,
wasreplace,1,
water,1,
waterproof,1,
watershed,1,
wave,1,
wear,1,
welding,1,
wholesale,1,
wholesaling,1,
wine,1,
winning,1,
worked,1,
worn,1,
wove,1,
written,1,
wto,1,
year.follow,1,
yong,1,
